query_id,query,method,retrieved_candidate_count,candidate_count,planned_count,avg_stops_per_day,FR,RR,AR,STR,PR,answer
"1","Plan a one-day Xiamen local food and culture route.","LLM Only","0","0","6","6","0.167","0","0","0.333","0.833","Title: Xiamen Local Flavors and Cultural Heritage in One Day

Day 1 Stop 1: Nanputuo Temple
- Why included: A renowned Buddhist temple offering a serene cultural experience and a glimpse into local religious traditions.
- Best time to visit: Early morning (7:00-8:30 AM) to avoid crowds and enjoy the peaceful atmosphere.
- Estimated stay: 1.5 hours
- Address: 515 Siming South Road, Siming District, Xiamen

Day 1 Stop 2: Xiamen University (XMU)
- Why included: One of China’s most beautiful campuses, featuring historic architecture, lush gardens, and a lake, reflecting local academic culture.
- Best time to visit: 9:00-10:30 AM after temple visit
- Estimated stay: 1.5 hours
- Address: 422 Siming South Road, Siming District, Xiamen

Day 1 Stop 3: Zhongshan Road Walking Street
- Why included: A bustling pedestrian street with local snack stalls, shops, and colonial-era buildings, perfect for tasting Xiamen street food like oyster omelets and peanut soup.
- Best time to visit: Late morning to early afternoon (11:00 AM-1:00 PM)
- Estimated stay: 2 hours
- Address: Zhongshan Road, Siming District, Xiamen

Day 1 Stop 4: Gulangyu Island (Shuzhuang Garden & Sunlight Rock)
- Why included: A car-free island with colonial villas, gardens, and panoramic views, offering a deep dive into Xiamen’s multicultural history and local culture.
- Best time to visit: 1:30-4:30 PM (after lunch, take a short ferry from downtown)
- Estimated stay: 3 hours
- Address: Gulangyu Island, Xiamen (ferry from Lujiang Road Pier)

Day 1 Stop 5: Zengcuoan Village
- Why included: A former fishing village turned artistic enclave with narrow alleys, street art, and seafood restaurants, ideal for experiencing local coastal culture and dinner.
- Best time to visit: Late afternoon to evening (5:00-7:00 PM)
- Estimated stay: 2 hours
- Address: Zengcuoan Village, Siming District, Xiamen

Day 1 Stop 6: Xiamen Night Market (e.g., Hubin East Road Night Market)
- Why included: A lively night market to sample more local delicacies like satay noodles and seafood skewers, ending the day with authentic flavors.
- Best time to visit: 7:30-9:00 PM
- Estimated stay: 1.5 hours
- Address: Hubin East Road, Siming District, Xiamen"
"1","Plan a one-day Xiamen local food and culture route.","Local RAG Only","12","12","5","5","0","0","0","1","1","Title: Xiamen Local Food and Culture Discovery

Day 1 Stop 1: 南普陀寺
- Why included: A key cultural site to start the day, offering a serene temple experience and insight into Buddhist and Minnan culture.
- Best time to visit: Morning
- Estimated stay: 90 minutes
- Address: 思明南路515号

Day 1 Stop 2: 厦门大学外部参观点
- Why included: Adjacent to Nanputuo Temple, this stop showcases the beautiful campus architecture and provides a cultural photo opportunity.
- Best time to visit: Late morning
- Estimated stay: 90 minutes
- Address: 思明南路422号周边

Day 1 Stop 3: 龙头路
- Why included: A vibrant food street on Gulangyu Island, perfect for sampling local snacks and shopping for souvenirs, blending food and culture.
- Best time to visit: Noon
- Estimated stay: 90 minutes
- Address: 鼓浪屿龙头路

Day 1 Stop 4: 菽庄花园
- Why included: A cultural garden with piano exhibits and sea views, offering a relaxed cultural experience in the afternoon.
- Best time to visit: Afternoon
- Estimated stay: 90 minutes
- Address: 鼓浪屿港仔后路

Day 1 Stop 5: 皓月园
- Why included: A scenic coastal park with the Zheng Chenggong statue, ideal for evening culture and scenery appreciation.
- Best time to visit: Evening
- Estimated stay: 90 minutes
- Address: 鼓浪屿东部海滨"
"1","Plan a one-day Xiamen local food and culture route.","Local RAG + STCF","12","5","5","5","0","0","0","0.8","1","Title: One-Day Xiamen Food and Culture Route

Day 1 Stop 1: 鼓浪屿 (Gulangyu Island)
- Why included: Start your day on this scenic island, a UNESCO World Heritage site with beautiful architecture and sea views, setting the cultural tone for the day.
- Best time to visit: Morning
- Estimated stay: 90 minutes
- Address: 鼓浪屿

Day 1 Stop 2: 鼓浪屿钢琴博物馆 (Gulangyu Piano Museum)
- Why included: Dive into the island’s musical heritage with a collection of historic pianos, a perfect cultural stop.
- Best time to visit: Morning
- Estimated stay: 90 minutes
- Address: 鼓浪屿菽庄花园内

Day 1 Stop 3: 龙头路 (Longtou Road)
- Why included: Explore the island’s main food street, offering local snacks and souvenirs, ideal for a food-focused lunch and shopping.
- Best time to visit: Noon
- Estimated stay: 90 minutes
- Address: 鼓浪屿龙头路

Day 1 Stop 4: 南普陀寺 (Nanputuo Temple)
- Why included: Visit this serene Buddhist temple to experience traditional Fujian culture and architecture, a key cultural landmark.
- Best time to visit: Afternoon
- Estimated stay: 90 minutes
- Address: 思明南路515号

Day 1 Stop 5: 厦门大学外部参观点 (Xiamen University Area)
- Why included: End your day with a stroll around the scenic campus exterior, known for its charming buildings and photo opportunities.
- Best time to visit: Afternoon
- Estimated stay: 90 minutes
- Address: 思明南路422号周边"
"2","Plan a one-day Xiamen route focused on seaside views and local snacks.","LLM Only","0","0","6","6","0.333","0","0","0.667","0.667","Title: Xiamen Seaside & Snack Tour

Day 1 Stop 1: Gulangyu Island
- Why included: Iconic seaside island with colonial architecture, beach views, and car-free streets perfect for a morning stroll.
- Best time to visit: 8:30 AM to 11:00 AM to avoid crowds and enjoy the sea breeze.
- Estimated stay: 2.5 hours
- Address: Ferry from Xiamen Ferry Terminal to Gulangyu

Day 1 Stop 2: Zhongshan Road Walking Street
- Why included: Historic pedestrian street with a mix of local snack shops, including Shacha noodles, oyster omelets, and peanut soup.
- Best time to visit: 11:30 AM to 1:00 PM for lunch.
- Estimated stay: 1.5 hours
- Address: Zhongshan Road, Siming District

Day 1 Stop 3: Huandao Road (Island Ring Road) – Music Square Section
- Why included: Scenic coastal road with stunning sea views, bike paths, and photo spots. Great for a post-lunch walk or bike ride.
- Best time to visit: 2:00 PM to 3:30 PM for pleasant afternoon light.
- Estimated stay: 1.5 hours
- Address: Huandao Road, near Music Square

Day 1 Stop 4: Zengcuoan Village
- Why included: Quaint fishing village turned artsy area with seaside cafes, local snack stalls like fried squid and coconut drinks, and a relaxed vibe.
- Best time to visit: 4:00 PM to 5:30 PM for late afternoon exploration.
- Estimated stay: 1.5 hours
- Address: Zengcuoan Village, Siming District

Day 1 Stop 5: Baishazhou Beach
- Why included: Quiet, less crowded beach for sunset views and a peaceful end to the seaside tour.
- Best time to visit: 5:45 PM to 6:45 PM for sunset.
- Estimated stay: 1 hour
- Address: Baishazhou, near Huandao Road

Day 1 Stop 6: Xiamen Night Snack Street (e.g., Babu Night Market area)
- Why included: Local evening snack hub offering grilled seafood, satay skewers, and sweet soups to wrap up the day.
- Best time to visit: 7:00 PM to 8:30 PM for dinner.
- Estimated stay: 1.5 hours
- Address: Near Babu Road, Siming District"
"2","Plan a one-day Xiamen route focused on seaside views and local snacks.","Local RAG Only","12","12","5","5","0","0","0.4","1","0.95","Title: Seaside Views & Local Snacks on Gulangyu Island

Day 1 Stop 1: 鼓浪屿 (Gulangyu Island)
- Why included: The core island destination offering stunning seaside views and a relaxed island atmosphere; serves as the base for the entire day’s exploration.
- Best time to visit: Morning (to avoid crowds and enjoy the coastal scenery)
- Estimated stay: 90 minutes (for arrival and initial exploration)
- Address: 鼓浪屿, 思明区, 厦门

Day 1 Stop 2: 日光岩 (Sunlight Rock)
- Why included: The highest viewpoint on the island, providing panoramic seaside views of the ocean and surrounding area—perfect for a scenic start.
- Best time to visit: Morning (clear visibility for photography)
- Estimated stay: 90 minutes
- Address: 鼓浪屿晃岩路, 思明区, 厦门

Day 1 Stop 3: 龙头路 (Longtou Road)
- Why included: The island’s main food street, ideal for sampling local snacks and buying souvenirs; directly addresses the request for local snacks.
- Best time to visit: Noon (when shops and food stalls are fully open)
- Estimated stay: 90 minutes
- Address: 鼓浪屿龙头路, 思明区, 厦门

Day 1 Stop 4: 港仔后海滨浴场 (Gangzaihou Beach)
- Why included: A beautiful sandy beach with direct seaside views, perfect for a relaxing afternoon walk or sunbathing by the ocean.
- Best time to visit: Afternoon (sunset is also recommended for scenic beauty)
- Estimated stay: 90 minutes
- Address: 鼓浪屿港仔后路附近, 思明区, 厦门

Day 1 Stop 5: 皓月园 (Haoyue Garden)
- Why included: A coastal park with a seaside setting and a large statue of Zheng He, offering scenic ocean views and cultural interest—great for a late-afternoon visit.
- Best time to visit: Sunset (for beautiful evening light over the sea)
- Estimated stay: 90 minutes
- Address: 鼓浪屿东部海滨, 思明区, 厦门"
"2","Plan a one-day Xiamen route focused on seaside views and local snacks.","Local RAG + STCF","12","4","4","4","0","0","0","0.75","0.938","Title: Seaside Scenery & Local Snacks in Xiamen

Day 1 Stop 1: 鼓浪屿
- Why included: Offers stunning seaside views, island scenery, and a relaxed atmosphere to start your day.
- Best time to visit: Morning
- Estimated stay: 90 minutes
- Address: 鼓浪屿

Day 1 Stop 2: 龙头路
- Why included: A vibrant food street on Gulangyu Island, perfect for sampling local snacks and shopping for souvenirs.
- Best time to visit: Noon
- Estimated stay: 90 minutes
- Address: 鼓浪屿龙头路

Day 1 Stop 3: 南普陀寺
- Why included: A cultural temple with scenic surroundings, providing a peaceful contrast and photo opportunities.
- Best time to visit: Afternoon
- Estimated stay: 90 minutes
- Address: 思明南路515号

Day 1 Stop 4: 厦门大学外部参观点
- Why included: Offers beautiful campus architecture and scenery for a relaxed stroll and photos.
- Best time to visit: Afternoon
- Estimated stay: 90 minutes
- Address: 思明南路422号周边"
"3","Plan a relaxing one-day Xiamen citywalk with less walking.","LLM Only","0","0","5","5","0.4","0","0","0.4","0.4","Title: Leisurely Xiamen Citywalk: A Relaxing Day by the Sea

Day 1 Stop 1: Gulangyu Island
- Why included: A car-free island with charming colonial architecture and serene gardens, perfect for a gentle stroll without heavy walking.
- Best time to visit: 8:30 AM to avoid crowds
- Estimated stay: 2.5 hours
- Address: Ferry from Xiamen Ferry Terminal to Gulangyu

Day 1 Stop 2: Zhongshan Road Walking Street
- Why included: A flat, pedestrian-friendly street with local snacks and shops, ideal for a relaxed midday break.
- Best time to visit: 11:30 AM
- Estimated stay: 1.5 hours
- Address: Zhongshan Road, Siming District

Day 1 Stop 3: Nanputuo Temple
- Why included: A peaceful Buddhist temple with minimal uphill walking, offering cultural charm and quiet gardens.
- Best time to visit: 1:30 PM
- Estimated stay: 1 hour
- Address: 515 Siming South Road, Siming District

Day 1 Stop 4: Xiamen University Campus
- Why included: A scenic, flat campus with lakes and greenery, allowing for a gentle walk in a tranquil setting.
- Best time to visit: 3:00 PM
- Estimated stay: 1 hour
- Address: 422 Siming South Road, Siming District

Day 1 Stop 5: Huandao Road Beach (e.g., Pearl Beach)
- Why included: A calm seaside spot to rest and enjoy the ocean breeze with minimal walking required.
- Best time to visit: 4:30 PM
- Estimated stay: 1 hour
- Address: Huandao Road, Siming District"
"3","Plan a relaxing one-day Xiamen citywalk with less walking.","Local RAG Only","12","12","5","5","0","0","0.4","1","0.5","Title: Relaxing One-Day Xiamen Citywalk with Less Walking

Day 1 Stop 1: 三丘田码头
- Why included: This is the main arrival point on Gulangyu Island, offering a scenic ferry ride and a gentle start to the day with beautiful sea views and minimal walking.
- Best time to visit: Morning
- Estimated stay: 30 minutes
- Address: 鼓浪屿三丘田码头

Day 1 Stop 2: 龙头路
- Why included: A relaxed food street perfect for a light breakfast or mid-morning snack, with many shops and local treats to enjoy without extensive walking.
- Best time to visit: Morning
- Estimated stay: 90 minutes
- Address: 鼓浪屿龙头路

Day 1 Stop 3: 菽庄花园
- Why included: A compact and serene garden with sea views and piano culture, ideal for a leisurely stroll and cultural appreciation without covering large distances.
- Best time to visit: Morning or noon
- Estimated stay: 90 minutes
- Address: 鼓浪屿港仔后路

Day 1 Stop 4: 港仔后海滨浴场
- Why included: A nearby beach offering a calm spot to relax, sit by the sea, and enjoy the scenery—perfect for unwinding with very little walking required.
- Best time to visit: Noon or early afternoon
- Estimated stay: 90 minutes
- Address: 鼓浪屿港仔后路附近

Day 1 Stop 5: 皓月园
- Why included: A coastal park with a famous statue and sunset views, providing a peaceful end to the day with minimal effort and a relaxing atmosphere.
- Best time to visit: Evening (sunset)
- Estimated stay: 90 minutes
- Address: 鼓浪屿东部海滨"
"3","Plan a relaxing one-day Xiamen citywalk with less walking.","Local RAG + STCF","12","4","4","4","0","0","0","0.75","0","Title: Relaxing Xiamen Citywalk: Island Charm & Cultural Highlights

Day 1 Stop 1: 鼓浪屿
- Why included: A scenic island escape with beautiful sea views and historic architecture, perfect for a relaxed morning stroll with minimal walking.
- Best time to visit: Morning
- Estimated stay: 90 minutes
- Address: 鼓浪屿, 思明区

Day 1 Stop 2: 龙头路
- Why included: A lively food street on the island offering local snacks and souvenirs, ideal for a leisurely lunch and shopping without extra travel.
- Best time to visit: Noon
- Estimated stay: 90 minutes
- Address: 鼓浪屿龙头路, 思明区

Day 1 Stop 3: 南普陀寺
- Why included: A serene Buddhist temple with cultural significance, providing a calm afternoon visit with easy access from the island area.
- Best time to visit: Afternoon
- Estimated stay: 90 minutes
- Address: 思明南路515号, 思明区

Day 1 Stop 4: 厦门大学外部参观点
- Why included: Enjoy the beautiful campus architecture and photo opportunities from the outside, a relaxing end to the day with minimal effort.
- Best time to visit: Afternoon
- Estimated stay: 90 minutes
- Address: 思明南路422号周边, 思明区"
"4","Plan a night route in Xiamen with food, sea views, and nightlife.","LLM Only","0","0","4","4","0","0.25","0","0.5","1","Title: Xiamen Night Seafood and Sea Breeze Route

Day 1 Stop 1: Zhongshan Road Pedestrian Street
- Why included: Lively night market with local snacks and shopping.
- Best time to visit: 6:00 PM
- Estimated stay: 1.5 hours
- Address: Zhongshan Road, Siming District, Xiamen

Day 1 Stop 2: Lujiang Night View (Lujiang Road)
- Why included: Stunning sea views of Gulangyu Island and the coastline at night.
- Best time to visit: 7:30 PM
- Estimated stay: 30 minutes
- Address: Lujiang Road, Siming District, Xiamen

Day 1 Stop 3: Shapowei (Art District)
- Why included: Trendy area with seafood restaurants, bars, and artistic sea views.
- Best time to visit: 8:30 PM
- Estimated stay: 2 hours
- Address: Shapowei, Siming District, Xiamen

Day 1 Stop 4: Xiamen University Night Stroll (White City Beach)
- Why included: Relax by the beach with ocean breeze and nightlife atmosphere.
- Best time to visit: 10:30 PM
- Estimated stay: 1 hour
- Address: White City Beach, Siming District, Xiamen"
